i,alice_basis,alice_value,bob_basis,bob_bit,eve_basis,note
1,+,1,x,0,,alice_value_is_trit_0_1_2
2,+,0,x,1,,
3,x,1,x,1,,
4,x,2,x,0,,
5,x,0,+,1,,
6,x,1,x,1,,
7,x,1,+,1,,
8,+,0,+,0,,
9,+,2,x,0,,
10,+,0,x,0,,
11,+,0,x,1,,
12,+,2,x,1,,
13,x,0,+,1,,
14,x,1,x,1,,
15,x,0,x,0,,
16,+,1,+,1,,
17,x,2,+,0,,
18,+,1,x,1,,
19,x,1,x,1,,
20,x,1,+,0,,
21,+,0,+,0,,
22,+,0,x,0,,
23,+,0,+,0,,
24,x,1,x,1,,
25,x,2,+,0,,
26,x,2,x,0,,
27,x,1,+,0,,
28,x,1,+,0,,
29,+,1,+,1,,
30,x,2,+,1,,
31,x,2,+,1,,
32,x,0,+,1,,
33,+,2,+,0,,
34,+,1,x,1,,
35,x,1,x,1,,
36,x,1,+,0,,
37,x,1,+,0,,
38,x,2,x,0,,
39,x,0,+,1,,
40,x,1,+,0,,
41,x,2,x,0,,
42,+,0,x,0,,
43,x,1,x,1,,
44,+,1,+,1,,
45,+,0,+,0,,
46,+,1,x,1,,
47,+,2,x,0,,
48,x,1,+,0,,
49,+,2,x,0,,
50,+,1,x,1,,
51,x,0,+,1,,
52,+,0,+,0,,
