i,alice_basis,alice_value,bob_basis,bob_bit,eve_basis,note
1,x,2,x,0,x,alice_value_is_trit_0_1_2
2,+,0,+,0,x,
3,+,0,+,0,+,
4,+,0,x,1,+,
5,x,1,x,1,x,
6,+,0,+,1,x,
7,+,0,+,1,x,
8,+,0,+,0,+,
9,+,2,x,0,+,
10,+,1,x,1,x,
11,+,2,x,1,x,
12,x,1,x,1,+,
13,x,1,+,0,+,
14,x,2,+,1,+,
15,x,0,x,1,+,
16,x,1,x,0,+,
17,x,2,+,1,x,
18,+,1,x,1,x,
19,x,2,+,0,x,
20,+,0,+,0,+,
21,+,1,+,0,x,
22,x,2,x,0,+,
23,+,1,+,1,+,
24,+,2,x,1,x,
25,+,0,+,0,+,
26,+,0,+,0,+,
27,x,1,+,1,+,
28,x,2,+,1,x,
29,x,1,x,0,+,
30,+,1,+,1,+,
31,+,1,+,1,+,
32,x,1,x,1,+,
33,x,1,+,1,x,
34,+,2,+,0,+,
35,x,1,+,1,x,
36,+,2,+,0,+,
37,+,0,x,1,+,
38,+,0,+,0,+,
39,+,0,+,0,+,
40,x,1,+,1,x,
41,+,0,+,0,+,
42,+,0,+,0,x,
43,x,2,+,0,x,
44,+,2,x,1,x,
45,x,2,x,0,+,
46,+,1,+,1,+,
47,x,0,+,0,x,
48,x,1,+,0,+,
49,+,1,+,1,x,
50,x,2,+,0,x,
51,x,2,+,0,x,
52,x,2,+,0,+,
