i,alice_basis,alice_value,bob_basis,bob_bit,eve_basis,note
1,x,0,+,1,,
2,+,1,+,1,,
3,x,1,+,0,,
4,+,0,+,0,,
5,+,0,x,0,,
6,+,1,+,1,,
7,x,0,x,0,,
8,x,1,x,1,,
9,x,0,x,0,,
10,x,0,x,0,,
11,x,1,+,1,,
12,+,1,x,0,,
13,x,1,+,0,,
14,+,1,+,1,,
15,x,1,x,1,,
16,+,1,+,1,,
17,x,1,+,1,,
18,x,0,+,1,,alice_entry_ambiguous_in_scan
19,+,1,x,1,,
20,+,0,+,0,,
21,x,1,+,1,,
22,+,0,+,0,,
23,x,0,x,0,,alice_entry_ambiguous_in_scan
24,+,1,+,1,,
25,+,1,+,1,,
26,x,1,+,0,,
27,+,0,x,0,,
28,+,1,x,0,,
29,x,1,x,1,,
30,+,0,+,0,,
31,+,0,+,0,,
32,x,0,x,0,,
33,x,0,x,0,,
34,x,1,x,1,,
35,+,1,+,1,,
36,x,0,+,0,,
37,+,1,x,1,,
38,+,1,x,1,,
39,+,0,+,0,,
40,x,1,x,1,,
41,x,0,x,0,,
42,+,1,+,1,,
43,x,1,x,1,,
44,+,0,+,0,,
45,x,0,+,1,,
46,+,1,x,0,,
47,+,0,x,0,,
48,+,1,+,1,,
49,x,1,x,1,,
50,+,1,+,1,,
51,+,1,x,0,,
52,x,0,+,0,,
