i,alice_basis,alice_value,bob_basis,bob_bit,eve_basis,note
1,+,0,x,1,+,
2,x,1,+,0,+,
3,+,0,+,0,+,
4,x,0,+,1,x,
5,+,1,+,1,x,
6,+,1,x,1,x,
7,x,1,x,1,+,
8,x,1,+,1,x,
9,x,0,x,0,x,
10,x,1,x,1,x,
11,+,0,x,0,x,
12,x,0,x,0,+,
13,+,0,+,0,+,
14,x,1,x,1,x,
15,x,0,x,0,+,
16,+,0,x,1,x,
17,+,1,x,0,+,
18,x,1,x,1,+,
19,+,1,x,0,+,
20,+,0,x,0,x,
21,x,0,+,1,x,
22,x,0,x,0,x,
23,+,0,+,1,x,
24,x,1,+,0,+,
25,x,1,+,1,x,
26,+,1,x,0,x,
27,x,1,+,1,+,
28,x,0,x,0,x,
29,+,0,+,0,+,
30,+,1,x,1,x,
31,+,1,+,1,+,
32,+,1,+,1,+,
33,+,0,x,1,x,
34,+,0,x,0,+,
35,+,0,+,0,+,
36,x,0,x,0,x,
37,x,1,x,1,x,
38,+,0,+,0,+,
39,+,0,+,0,+,
40,x,1,+,1,+,
41,+,0,+,0,+,
42,+,0,+,0,x,
43,x,1,+,1,+,
44,x,1,+,0,x,
45,+,1,x,0,x,
46,+,0,x,1,x,
47,x,1,x,1,+,
48,x,0,x,1,+,
49,+,1,x,1,+,
50,x,1,x,1,x,
51,x,0,+,1,+,
52,x,1,+,0,x,
